logo_width,logo_height,short_description,description,overview,tag_list,country_code,state_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,created_by,created_at,updated_at
300,61,,online payment solutions,"payolution is offering seamless white-label invoicing and instalment solutions for e-retail and travel. Invoice is by far the preferred payment method by consumers and therefore conversion rates at the check-out by up to 80%. Payment by installments are hardly offered in Europe as merchants were not able to take the risk and refinance outstanding money. Therefore payolution is absorbing the credit risk and paying the merchant in advance. 

payolution is based in Vienna and was founded by Michael Altrichter (co-founder paysafecard) and Stefan Kalteis (co-founder 123people).",,AUT,,Vienna,Vienna,,,,,,,,,1/7/2010,1/7/2010,1,2,,7/9/2011 10:49:14,24/9/2011 13:18:18
440,173,,Customer feedback and review,"Testimonial Monkey makes it easy for companies to get feedback from their customers.  All of the feedback is guaranteed to be shown and the user can respond publicly to each review which enables the service to be used as a two way communication and customer service tool, helping to improve customer satisfaction and reduce product returns.  

How it works: Your customers are asked to provide a testimonial and once given they are displayed on your own unique page at Testimonial Monkey.  You can also choose to integrate and automatically display them on your own website and social media accounts.  You can also respond publicly to the customer comments, so the process is an interactive two way one.

This honest and open approach to customer feedback helps businesses to improve website conversion rates and boost company profits.  Reviews can also be shared with social media sites such as Facebook and Twitter helping businesses to build their online reputation and brand.

There are five separate plans, so there is something here for everyone. The cheapest plan works out at £29 per month, but this has limited functionality and services. The most expensive is designed for enterprises at £499 per month. No matter which plan you prefer, the site gives you access to a 30-day free trial too.
","consumer-review, customer-testimonials, social-commerce, online-customer-feedback",GBR,,Mansfield,Mansfield,,,,,,,,,1/7/2011,1/7/2011,1,2,tmonkey_uk,7/9/2011 10:53:06,24/9/2011 13:18:31
257,98,,,"Quifo is a search tool that is designed to find quick, descriptive summaries on the Web. Sometimes when you read something, you just want a quick summary and quick information of the concept. [Wikipedia](/product/wikipedia) is sometimes too overwhelming and [Google](/company/google) isn't the most efficient mechanism for fast summary info. Quifo is an attempt to get people that information quickly - to the point, quick summaries.

","search, information, quick",,,,unknown,,,,,,,,,,,,,cameronc,25/8/2008 18:50:54,6/9/2008 14:19:50
363,68,,,"Rush Hour provides real time action and event based web analytics.  They are set to launch in late 2008, but are currently testing their technology with TweetRush, their primary product.","analytics, api-stats, actions, web-stats, application-analytics, user-behaviour",IRL,,Cork,Cork,,,,,,,,,2/5/2008,2/5/2008,1,5,cameronc,25/8/2008 19:02:12,5/12/2012 04:53:33
,,,hyperlocal communication tool,"Spreet.it, short for 'spread it in your street', is a map based tool which brings together people that do not know each other yet. Put in a nutshell, users are able to spread a locally relevant message from a defined position on a map. 
In addition to that, users place virtual antennas on a map and define a radius in which they want to listen to messages by other users. By doing so, users can listen to messages spread in different areas they have an interest in without being physically present. We do not consider ourselves to be part of social media as we know it, but more precisely of what we would name 'local media'.

The team is quite straightforward at the moment. Roman is a professional coder specializing on ruby on rails and edgy developments of all kinds. He has gained a lot of experience working as a freelancer for different companies throughout the past years. Mathis is a law student just about graduating from Bucerius Law School in Hamburg. He has experience in e-commerce and is the project manager at spreet.it. We are close friends and are more than just passionate for our 'baby' - we have spent hours and hours on spreet.it in the past months and think of improvements day and night. We are open for any criticism, feedback, or partnership. Feel free to contact us, we wil get back to you as soon as possible.

We are still self-funded, but we are looking for a strong partner and investor. By now we have a public beta-version of spreet.it online. We are seeking feedback and proceeding the work on our web app. The iPhone app will be presented very soon.","location-based-service, hyperlocal, local-communication, mobile",,,,unknown,,,,,,,,,,,,,spreet,7/9/2011 11:11:36,24/9/2011 13:18:41
225,52,,,"TelPlexus is an innovative leader in telecommunications engineering. Since 1998, their company has been assisting clients of all sizes with their unique requirements. TelPlexus has engineered more than 10,000 miles of fiber throughout the United States and has designed more than $250 million in infrastructure.",,USA,TN,Murfreesboro,Nashville,,,,,,,,,,,,,timircha,7/9/2011 11:11:36,7/9/2011 11:17:56
193,72,,,"Osmose provides professional inspection, maintenance, and rehabilitation services for aging T&D infrastructure. Osmose also provides engineering services and data solutions - from GIS related surveys for network connectivity and joint use, to pole loading analysis for make-ready design and regulatory compliance. With more than 75 years of diverse experience as a foundation, Osmose proudly serves America’s utilities as they build tomorrow’s intelligent utility.",,USA,GA,Tyrone,Atlanta,,,,,,,,,,,,,timircha,7/9/2011 11:17:12,7/9/2011 11:25:50
150,108,,,"Weedee is a community based directory of people and organizations. It also allows you to tell your story and the stories of others and show how everybody and everything is linked together.

In other words, it is a yellow pages service where you can find anyone anywhere, and it has a Wiki engine that allows its users to write about people and organizations they know. ",web-directory,,,,unknown,,,,,,,,,,,,,cameronc,25/8/2008 19:31:04,15/9/2008 00:23:13
500,124,,GPS Tracking Solutions,"RitAssist® provides intelligent GPS Tracking solutions for fleets and fleetowners

RitAssist is the Dutch market leader and provides an intelligent fleet management & control solution based on high-end GPS/GPRS-devices. RitAssist is used for real-time tracking & tracing, fleet management & control, asset management and many more. 
","fleet-management, tracking, gps-tracking, track-and-trace, fleetmanagement, car-tracking, personal-tracking, gps-tracker",NLD,,Hattem,Hattem,,,,,,,,,1/7/2008,1/7/2008,1,2,,7/9/2011 11:22:06,24/9/2011 13:18:54
200,69,,,"Birdpost is poised to lead a burgeoning ""citizen science"" movement as a usable, innovative, and potent framework aimed at connecting nature and people in ways never before possible. Birdpost combines satellite mapping technology with the popular sport of birdwatching, dramatically modernizing, improving, and altering the hobby by solving birders' most vexing problem: where to find new bird species. Birdpost gives the estimated 18 million serious U.S. birders an online platform to chronicle, organize, map, and share their collective birding activities.

The cumulative data gathered by Birdpost's users will produce ""natural histories"" of local habitats and give conservationists, educators, and other nature enthusiasts the tools they need to better protect, understand, and the enjoy the environment. Ultimately, Birdpost's proprietary vehicle for grass-roots nature reporting will scale beyond birds to include other nature verticals such as wildlife, insects, reptiles, plants, fish, and trees, becoming a human-generated nature search engine.","techcrunch50, tc50",USA,CA,Menlo Park,SF Bay,,,,,1/11/2007,1/11/2007,1,350000,10/9/2008,10/9/2008,1,2,gene,25/8/2008 19:40:02,4/6/2009 04:24:43
288,77,,Education specialists,Ambitious Minds is an education specialist that delivers effective employability and life skills to young adults. Our work is supported by data-led research into the social and economic problems facing young people today.,,GBR,,Liverpool,Liverpool,,,,,7/9/2011,7/9/2011,1,559522,,,,,timircha,7/9/2011 11:39:26,18/10/2012 02:12:29
200,60,,,"Popego is an Internet company building AI technology and innovative interfaces to create a more personal web based on the concept of user-controlled interest profiles. 

They envisioned a new dimension emerging over the social graph: Interests; and they have built a product capable of exploring this new dimension, modeling interests and synthesizing interest profiles for internet users based on all their online activity, extracting semantic information from their content and connections. 

Based on these interest models, their users can filter the web for those gems that are relevant and interesting to them. Besides interesting recommendations, their users can also share their interest profiles to show the world what they like and find people with matching interests.
 
The team got together in early 2007 with the vision of creating a more meaningful web that can adapt its contents to each user's interests, and a more credible web where you can discover the real people behind each username. A public beta will be launched in September. 

","techcrunch50, tc50, web-service, interests, semantic, aggregator, artificial-intelligence, ai, design, interfaces",USA,CA,San Francisco,SF Bay,,,,,1/5/2009,1/5/2009,1,,1/3/2007,9/9/2008,2,5,,25/8/2008 19:41:18,26/3/2013 05:22:11
192,67,,,"Jivjiv seeks to allow users to personalize their mobile phones with ring tones, pictures, and other media.  

The company entered the deadpool on August 25, 2008.",,,,,unknown,,,,,,,,,,,,,cameronc,25/8/2008 19:48:37,15/11/2008 15:39:00
1886,525,,Social Media and Learning,"Reach Further provides training and consultany in using social media for business.

Reachfurther brings people together online to share, to work and to learn in online communities and social media networks.

Who we are:

Reachfurther helps businesses & individuals make the most of the social web through training courses, consultancy, & social media strategy creation & delivery.

We've been doing social media since before the term was invented. Our biggest online community - with 3 million members in 170 countries is 12 years old this year. We've also run an online community for the United Nations, and an open eLearning researchers group at http://elesig.ning.com - held up by the inspectorate as ""the finest example of a sustainable community on the web.""

What we can do for you:

We help your business make the most of social media. Using free tools and simple strategies we save you money and time whilst improving your brand, reach and reputation, and increasing your sales. We do this by helping you engage your customers in conversation.

We can show you how to make the most of social networking with value-for-money practical workshops and planning. And when you are ready to reach further, we can help with online communities, social networking, eLearning and remote working.

How we work:

Reachfurther works with businesses, public services, educational & membership organisations to adopt & embed social and collaborative technologies to deliver learning & commercial advantage.","social-media, social-learning, training, consultancy, social-media-management, social-media-delivery, social-media-training",GBR,,Leeds,Leeds,,,,,,,,,26/10/2006,26/10/2006,1,1,lizcable,7/9/2011 12:24:24,24/9/2011 13:22:05
335,69,,Food Community,"FoodProof was a food community where users could post videos, photos, blogs, recipes, and more.

The company was composed of a small team of technologists and designers who built FoodProof from scratch, using primarily open source tools. Their video encoding framework was custom-built, and allowed for direct uploading of video content to the site, where it was processed and stored in [Amazon](/company/amazon)'s cloud.

","cooking, food",USA,CA,Oakland,SF Bay,,,,,,,,,,,,1,cameronc,25/8/2008 20:04:36,1/8/2013 03:54:51
328,73,,,"Carperks provides a pre-negotiated, discount automotive purchasing and leasing program for corporate employees and members of organizations across America.",,USA,FL,Jacksonville,Jacksonville,,,,,,,,,,,,,timircha,7/9/2011 12:30:12,7/9/2011 12:34:51
